,ticket_id,UID,currency,sales,quantity,date
0,202308220172448,c8d07ae8-c8a3-5f51-ab0f-a31f9e5a678ac8d07ae8-c8a3-5f51-ab0f-a31f9e5a678a,USD,272.90999999999997,3,2023-08-22
1,202308220138811,c8d07ae8-c8a3-5f51-ab0f-a31f9e5a678af0a2dfed-0632-5e1c-a70a-c0e4ce541100,USD,363.88,4,2023-08-22
2,202308220315873,d72bb6d7-bf0b-54f9-81e9-a40f761af196d72bb6d7-bf0b-54f9-81e9-a40f761af196,USD,600.0,3,2023-08-22
3,202308220817399,d7a20061-8453-5da3-9a2e-1f4b92d4bbaed7a20061-8453-5da3-9a2e-1f4b92d4bbae,USD,320.0,2,2023-08-22
4,202308220546183,d865b651-957b-56d1-a388-0ab59bff1b73d865b651-957b-56d1-a388-0ab59bff1b73,USD,100.0,1,2023-08-22
5,202308220945365,c3a284d2-7fed-5de8-a809-606bdb1c5363c3a284d2-7fed-5de8-a809-606bdb1c5363,USD,340.0,4,2023-08-22
6,202308220062677,89eb13a7-c6ba-576d-8b30-ec4c90fc635689eb13a7-c6ba-576d-8b30-ec4c90fc6356,USD,1000.0,5,2023-08-22
7,202308220129527,2754c187-81c9-5aa1-9f2e-9e68d3864e812754c187-81c9-5aa1-9f2e-9e68d3864e81,USD,280.0,2,2023-08-22
8,202308220194499,2754c187-81c9-5aa1-9f2e-9e68d3864e8112040468-5bad-5ed3-99ce-b2245425c4b2,USD,700.0,5,2023-08-22
9,202308220471343,f1326c52-8847-5d65-9a19-a8bd21346241f1326c52-8847-5d65-9a19-a8bd21346241,USD,150.0,1,2023-08-22
10,202308220756635,f1326c52-8847-5d65-9a19-a8bd213462418c3038c8-ea14-549b-a0cf-a1997aef3de7,USD,600.0,4,2023-08-22
11,202308220527443,ae71edbf-bd4f-5162-a0e9-11ab71358356ae71edbf-bd4f-5162-a0e9-11ab71358356,USD,675.0,5,2023-08-22
12,202308220038474,a28b2a1c-84a9-5096-8391-f6a09b524769a28b2a1c-84a9-5096-8391-f6a09b524769,USD,700.0,5,2023-08-22
13,202308220301135,94b64d60-13a8-5099-a690-a4e11708bef394b64d60-13a8-5099-a690-a4e11708bef3,USD,1000.0,5,2023-08-22
